64

19 302
16 3 81
3 18 33
1 5 23
8 5 59
5 7 31
16 16 5
5 9 97
11 9 26
5 11 20
3 6 4
6 13 9
4 4 64
5 10 50
7 5 28
13 16 89
9 19 78
18 14 1
4 4 82
14 2 80
19 16 84
13 10 49
13 18 4
3 7 22
8 18 72
1 11 86
1 8 23
11 18 77
14 13 69
15 18 2
8 6 59
17 15 9
13 7 39
19 18 82
14 15 14
5 2 41
12 18 98
7 1 43
19 17 21
15 1 10
1 15 82
12 7 94
15 7 2
13 1 28
9 16 18
7 16 4
5 16 27
2 17 14
18 8 17
16 10 24
11 3 62
14 4 16
2 19 39
2 7 83
14 11 22
10 8 33
3 7 50
19 17 47
5 14 3
11 5 89
13 13 57
14 18 18
10 15 80
13 4 88
4 9 24
9 15 2
15 12 67
9 11 18
3 8 49
5 3 83
17 14 30
16 10 77
8 3 65
12 11 53
17 19 65
12 19 25
2 5 36
12 16 30
16 2 69
18 7 22
9 7 14
18 13 7
18 13 20
9 3 92
8 5 55
4 8 87
9 16 70
2 19 53
3 11 36
7 19 22
10 14 52
3 4 85
15 6 37
14 16 90
18 14 36
7 10 48
3 14 79
19 16 50
7 10 31
6 16 22
17 17 8
1 5 71
7 11 40
3 11 80
16 1 44
3 14 98
13 11 18
9 14 40
15 2 95
8 5 4
6 15 40
10 14 67
17 16 44
9 9 94
9 16 6
19 18 91
10 7 86
1 11 11
18 18 73
4 9 54
15 5 82
9 18 60
2 9 73
11 6 60
4 2 14
18 13 68
5 5 74
15 10 11
10 4 31
15 9 67
1 6 39
15 2 11
1 8 7
6 8 14
4 16 66
13 13 7
15 6 35
5 5 20
8 5 3
16 4 30
19 2 7
1 15 73
5 17 0
12 17 80
8 6 59
17 16 95
3 3 27
5 9 46
9 11 63
9 1 3
11 2 21
3 6 50
19 18 50
13 11 96
18 9 98
12 7 72
11 14 36
19 1 18
8 7 28
5 18 1
6 3 6
8 6 29
3 3 90
13 8 92
2 6 1
5 8 89
15 10 62
15 12 56
19 15 95
14 5 83
13 3 50
18 8 51
1 15 15
6 18 90
11 11 8
18 3 80
5 19 1
14 7 99
9 14 71
10 2 82
12 14 91
16 8 67
11 7 12
6 10 77
17 4 57
16 14 3
16 10 87
